commit_id,actual,predicted
9b3cec10be73129d15a3ddb4c445d614b78dc7d1,False,False
91226609a496a15935ac1c40a04c3c324e091ef7,False,False
75e8284d48153dc8a1ce2012917dc8bd5edaf88d,False,False
dcc0056a37bc032e22687c6f2b6868b15bafca05,False,False
76ea01da7a207f4830d08aad742590ab3d673a11,False,False
bd03f2327c77d5cdedff3a1141fffd7012311f9b,False,False
7c20a8c8c3929bef3f8405813f85e13db16704e6,False,False
9397ce093a8a78ab6c9aa6bde9a76994eebd9489,False,False
11e1901e833382c1fc4ab7399236e05f069569d3,False,True
08e21b9db4bb4002aea2618300d6394e33710827,True,True
52a0082d95455e276dd82ade723f0176b485742d,False,False
b66db3b456329145999cb306c1413669e603c81e,True,True
54a8b80082644eba4deef695eb0c165ffab1fc31,False,True
d26cbca3fd1bcf8fc52cdc13e3904a880cd8d7e4,True,False
1ef44a0a20cbf9e0229b6e04532fc43855fac24a,True,True
1aea276e2f612340746218d4f77e8ab93cb5ac1d,False,False
412745679f277c66bf797c4a570ff16407f94439,False,False
0bc827ae35cdc68cd2eed3320caba74b65185e61,False,True
edfb730721a3b3e8e0d541a4f743888acb246163,False,True
51909a6dfab6302dc1829aa9b951b933df447463,True,True
70117f02c19892023e4c35b84e1395f744652c07,True,True
dbe44c53f4afe084dc5fd4781ac4cfb59715c539,True,True
388bf7e19e623d34c98f7217315f3d7c70f533e4,False,True
837064adb1b5e9254d8db501b8731a6940f6b7d9,False,False
7b3ffc7713cab0faf9bfd2f934506e9391d05af5,False,True
50c01bce5b8b93247067992c96bdb86d3e3e79ad,False,False
382d5baf49d2f2874d2dd9a70ed8ed4a928986a5,False,True
ae488ad551b81ef4f33d6085a2bd80a876f23e2a,False,False
378dec490bb66d12b88a0571d53b1cab6bb969f4,True,True
7ec88200b69a59f2c73dc0424b05df68fecfcf18,False,False
a095543d84f46b39f94887bafb353ba6d85b25bc,False,False
6305b1423c9cbcb22c7d119d21b9dd269113aa35,False,True
15434284ca42074f2d477146c8b6cdbc65f3705f,False,False
81b73a0db4ddea47ff93401ab8416a5571936f2d,True,True
5c288de093d9312a7d1e9c848706f342aebf7d68,False,False
96b15b0894ddc1081b34a08436611193dd83fd6c,True,True
2f233efeb4b7bcb2a4406a3fc0d936b2a8f9e3a8,False,False
3a205ab5ced5e2bd7bf4ec650fd0a7a7e5d1e5f1,True,False
a87d9e5ea63ca1feacdc7d02797701b621259950,False,False
8f42f89ba4bbaea0bc05c524876e390005a17560,False,False
88795fb53c65fc8fc2add78d8a389649f1e214d2,False,False
40c1216b89edfd9be2560f522cc787fd796d18eb,False,False
3109351b7c60146b694b5756dd67370e311e22c0,False,False
211fe92050fd1170f38ee1c20f612e986a66ab2b,False,False
