"commit_id","actual","pred"
"920e3d185294d28ccc16b3b99b56d1651d343885",FALSE,TRUE
"920e3d185294d28ccc16b3b99b56d1651d343885",TRUE,TRUE
"02e088c93f365c49ffe690e982c6ccfcbb869f71",FALSE,TRUE
"0b39ff39270604822f72a9290e7a76e397ed344a",FALSE,TRUE
"b8897bfcfeb855bf9b9106ba2573f38130de26c0",TRUE,TRUE
"13da4d86add80722e6d3ee8f85d161b5c0147f4b",TRUE,TRUE
"05b6adffad29892e8a69754c48b00ebcdc230345",FALSE,TRUE
"82d092a2a405e480b92e52bc933de5e502b596b6",TRUE,TRUE
"dcbb00ec7742f4f0832815181cdfcdc27e055f56",FALSE,TRUE
"2d0631b676c869e9acf0fdb218b81bfd2e8dfd07",TRUE,TRUE
"0744208acfcc3afb60aa7c4bae0c6c680cc4a2d4",TRUE,TRUE
"2d154fe6280afb25fb9a44c94c1f250eaed33fc5",FALSE,TRUE
"8b20d3b4874e99fb69d078e4e9d111c98c654169",TRUE,FALSE
"f7b0aacede6960e5e6820f82454a24517e278631",FALSE,FALSE
"7c02bd660f97f3ef37d351e3107bdc582f3839c2",TRUE,TRUE
"724ca669f24d9bd2cba911153a343dd2fbfccd45",TRUE,TRUE
"d8b01c05900dad3102158dcee1960d27aaab5ff0",FALSE,FALSE
"9b1af7e73c3780d88e831c229eb3ca1b7d215476",FALSE,FALSE
"7b57ea2a40ecfbbafe8710f7eb3d9dd209076f80",TRUE,TRUE
"57464ea20c907e27d8e4e9bc854de02d51ea0c9a",TRUE,TRUE
"cac47d5550b14997d25cf0d301bdf445d8b8dd13",FALSE,TRUE
"b3be7cfc2eb05bf6336d8ba8740f7d981947afa1",FALSE,TRUE
"6bebc319bfb7375d78b50974814f1bb73f85756a",TRUE,TRUE
"d46bb08334d56e19ca92e12e74642b5fa4e8ba74",TRUE,TRUE
"6cc438637468ffb9fc6cbc31fd8aeedfc73ab01d",FALSE,FALSE
"cad45f9bbea8b5dc7b2491b512132367c9577b00",TRUE,FALSE
"f64bf581e7987690846b820cb4e2af554d49165e",FALSE,TRUE
"92a6a4bb2560c8db7715c33066d785f8c5b15223",FALSE,FALSE
"20961a4473fa26a57f5c28d07d8c3670547282a4",TRUE,TRUE
"b8ca158daf98492951331d08de630d857959ad51",FALSE,TRUE
"e16ebbcdd5eccb19abe9ed5816759cc9b9ca3c06",FALSE,TRUE
"f70b130062f7e6e3f0bfb3548b524256f323555c",TRUE,TRUE
