commit_id,line,line_level_label,count,line_score,row
7b2d805c35749cef19993c91a239388b4911f751,* - doReplaceBatch - when the user chooses to initiate a Replace All. Use getReplaceText() to get the current replacement text.,0,12,1.0,1
7b2d805c35749cef19993c91a239388b4911f751,* - doReplaceAll - when the user chooses to initiate a Replace All. Use getReplaceText() to get the current replacement text.,1,12,1.0,2
7b2d805c35749cef19993c91a239388b4911f751,* - doReplaceAll - when the user chooses to perform a Replace All. Use getReplaceText() to get the current replacement text.,0,12,1.0,3
7b2d805c35749cef19993c91a239388b4911f751,".on(""click"", ""#replace-batch"", function (e) {",0,3,0.25,4
7b2d805c35749cef19993c91a239388b4911f751,".on(""doReplaceBatch.FindReplace"", function (e) {",0,3,0.25,5
7b2d805c35749cef19993c91a239388b4911f751,".on(""doReplaceAll.FindReplace"", function (e) {",0,3,0.25,6
7b2d805c35749cef19993c91a239388b4911f751,".on(""doReplaceAll.FindReplace"", function (e) {",1,3,0.25,7
7b2d805c35749cef19993c91a239388b4911f751,}),0,1,0.08333333333333333,8
7b2d805c35749cef19993c91a239388b4911f751,if (all) {,1,1,0.08333333333333333,9
7b2d805c35749cef19993c91a239388b4911f751,"doReplace(editor, null);",0,1,0.08333333333333333,10
7b2d805c35749cef19993c91a239388b4911f751,} else if (all) {,0,1,0.08333333333333333,11
7b2d805c35749cef19993c91a239388b4911f751,if (all === null) {,0,1,0.08333333333333333,12
7b2d805c35749cef19993c91a239388b4911f751,}),0,1,0.08333333333333333,13
7b2d805c35749cef19993c91a239388b4911f751,templateVars.replaceBatchLabel = (templateVars.multifile ? Strings.BUTTON_REPLACE_ALL_IN_FILES : Strings.BUTTON_REPLACE_BATCH);,0,0,0.0,14
7b2d805c35749cef19993c91a239388b4911f751,templateVars.replaceAllLabel = Strings.BUTTON_REPLACE_ALL;,0,0,0.0,15
7b2d805c35749cef19993c91a239388b4911f751,"self.trigger(""doReplaceBatch"");",0,0,0.0,16
7b2d805c35749cef19993c91a239388b4911f751,"this.$(""#replace-yes, #replace-batch, #replace-all"").prop(""disabled"", !enable);",0,0,0.0,17
7b2d805c35749cef19993c91a239388b4911f751,templateVars.replaceAllLabel = (templateVars.multifile ? Strings.BUTTON_REPLACE_ALL_IN_FILES : Strings.BUTTON_REPLACE_ALL);,1,0,0.0,18
7b2d805c35749cef19993c91a239388b4911f751,"self.trigger(""doReplaceAll"");",1,0,0.0,19
7b2d805c35749cef19993c91a239388b4911f751,"this.$(""#replace-yes, #replace-all"").prop(""disabled"", !enable);",1,0,0.0,20
7b2d805c35749cef19993c91a239388b4911f751,findBar.close();,0,0,0.0,21
7b2d805c35749cef19993c91a239388b4911f751,"FindInFilesUI.searchAndReplaceResults(state.queryInfo, editor.document.file, null, replaceText);",0,0,0.0,22
