commit_id,actual,predicted
c3bfc8753f48342237d3d1c14e47ef43a0f6a458,True,True
f7cd3ba9606a77ac88fef0a78b8dcb297d213490,True,True
bc98f5df609298a9cb496fa6b0bc4b678a0c58fa,True,False
976abda1c27b24bfa48c4ca398e18e16cd2b8469,False,True
4e672a52c85f940cfc79546bbaf12517935f96f8,True,True
cd06ad1dc77a7223e8f8c86344c0e8a5a08c36e3,True,True
e024c5a64674157478bd91bd7bdd36a9f95cd2ef,False,False
27c9d7f549e7d5267295a6cd4c643cb4d02f9939,False,True
af7912005aff55d1665746ac4f4a608be3663c7f,False,False
cfe6903f2841f53b5ca2d8cccd403690000e6149,False,True
d5031a5bf46aa33118b5a105ca5349b8f8650aaf,False,True
0a674ffe53a596a5b3050df6adbd7f0b442c0433,False,True
f7f78144db0b6efda096c692503daa63e18f2359,False,False
5e40ba1f77f2c7864d23e0ea60e55295f16d4b07,False,True
35fdf95989e2154882d698e35aacbd9abaa0c3af,False,True
9aa43eee7152e474d67d7563e332e2b8833e9783,True,True
9475af1f6bb1c8d765e75be90a11e7ef28807228,False,True
a83c9f4df8bfc2285f824f7edfbe02bb0b9cfca8,True,True
4ff69c7db5d6a86ea532452debe96b40c06f5c05,True,True
92963c26a1c5c3939497f424c2b10e7046c0ea84,True,False
70d28482f6fca8dd50e0fd742efc53e751ffcb5f,False,True
f2ea02b986df7bc463a390a34ba1ccc003d706bd,False,True
a84e870bb131b5e41f43f2bc8806c94598c282bf,True,True
aeed69477735d1f6a99f7837098332fe85273137,False,False
37047b34c8435edfb024a6e02edc7e3dfdd7f97a,False,True
5a81099a7f70661f9a6fbc0be91f8dc595db7112,False,False
2dbf45358f94f184d5a0b4e9ae6eca7002fc9c4f,False,False
c00449c7640a616eab52d5a894b78e527f5e5607,False,False
2a38ac3d618e7660a5335da587fb715fd1f6d7e8,False,True
f71b7ba69032dabba2f10285ec0041ce7b99bee4,False,False
f85cbc5f6ec6d1676253523fb8df50c5ebcd54c1,True,False
9a09a0b5802e7334acde4baa85d30711f1c3d905,True,False
bb163a33243c8347edc4066f35664b11593ec2f2,True,True
c15721bdd76cb14ed59a17a215bbe499f5839d86,True,True
1162e7c5fdbf1702cb8fc7838ea2b0b830f5d373,False,True
f217c799480f684405beefb9cbdbea13d3739b28,False,True
49f04d75989eea8e33db7a973e8853ad7ceaad2d,False,True
3a964c6944ac9d2af6696442533171f30c2718f4,False,True
db4cc13c7330aadbda2e7e0e1a8e95b64eb79ace,False,True
8aada14bc21008e94da094233bff607bdcc26f72,False,True
4380d5454315fa9479794713afb0edf86051b35a,False,True
62d1c8f4098fa5bc80595ce2d74e9aec2278b72e,False,True
b50aa1ed8dbf3630d9daf02f7cb7554bc6a1fd9d,False,True
68c3ce4a9bab1afda32af4e26f48ef4b07c86e2e,False,False
b1c0f78ee699528345043af9e758e1d38993ca26,False,True
b3894015c476f6d1b5c41b79c2a5381dbbf4cb4b,False,True
7137c285e3fbaac9de6c3a6a3288d23226129126,False,False
0bcc698a5783156aac976331b139f41eaf18abb6,True,True
b6274449f3b8c63a6a3fe5a5bb9e630a320e2598,False,False
4f149dca4bb79584dda1939d58bb842fa37d87fc,False,False
b7de9a3007792ff5d35259c365de707dd21b66ed,False,False
ee236b46ad0a2d051b6db5b6d98b308b5ddb6916,False,True
ea909e7a07c344751a76761ee987609949dca147,False,False
07d9b66717051c8386cbe7f9b619d08b231cf9fe,False,True
764396c2a5e9ca52fbee439ef66fca7aa79ca8d8,False,False
1bccd8a041017e04e9d7ecb860ae78b051731e4e,False,False
3d9124f3a051690659668d88b66255cf239fc0fc,True,True
86b777a2b0a7cbd4c735de9ae1ef0e0f850b1a81,False,True
76aafea309306039bae6eae3984170698ab9b42f,False,True
d6033e6b823540ac54842425b9aab5de482fbb4f,False,False
100c1abdcd9c2baf5486794b723680a7c44c149f,False,False
db14eab2e52fbedaed7689a20703e23a0656feb0,False,True
5162a1f42ea322191e655bc367ee38b44ed377b9,False,True
25d1e3a7d8f5f6e378a4ac9767209a0cebfc0cad,False,True
bccd69f841abe5c93e07522f2cf83d1c6189ae0b,False,False
48d49d6819af2fc114b1a6bfe6ed91f134d26432,False,False
5224c9ddb937608cad877f5bc1eff9269373524d,True,True
4fb68731b7bed11c70571da5fb4bcab9a3fe1675,False,False
767c70bcc4899d817ae0815a37f8c5ec96705f3c,False,False
1dcd7cc7951f22cb934a4fb44c5ffd166e34cb54,False,True
95555dfa695c9da4f6adca3511696f1c700a7a35,False,False
9d0381bec5df6d4dc1f43a8e1c60cfb64cf6a331,False,False
0c4ee9ce52be38502c07474091dd5d7d1a5a0002,False,True
0e37e3de7e7cc9e2c7a24f81a5231b8d07318dd7,False,True
6eba24fad9c469eaf76389da785e36314273a039,False,True
af49a7ac7536474685e49d33fecdba9f154de218,False,True
2d14124409a7eb22b11711829cd469fdfd3daabe,False,True
967343243deab6c782b5e6c26071a4f2de1f224d,False,True
1ce523674213546080e3554eb30ed58dc954194c,False,True
5672dfaa8dde373424eb6a93d6b6010e34dd23b5,False,False
ee0c96b69058949c21b41ca20353df8dd674b378,True,True
eae0aee9d7434a1e8a92c0a00bd83e2758eddc73,False,True
ebd3f54c0cdbd0cb5a4799001b786dc83595b9ce,False,False
653e0bf6d758ec8e811a137a256c6b7391d53f86,False,False
99c36acb9f73ffa7327fe7e3c3a6067f794dda59,False,False
b4fad8cfa210204362b83e9742ad1464bf4188d7,False,True
